idx,avg_valence,avg_arousal,avg_dominance,avg_time,assignments
43142,1.6666666666666667,4.333333333333333,4.333333333333333,21.926333333333332,3
55375,0.0,0.0,0.0,0.0,0
2522,0.0,0.0,0.0,0.0,0
44950,4.0,5.0,5.0,68.226,1
59256,0.0,0.0,0.0,0.0,0
8822,3.5,4.5,3.5,23.551,2
3300,0.0,0.0,0.0,0.0,0
51987,3.0,3.0,3.0,25.368,1
9021,2.0,3.0,3.0,68.349,1
62394,1.0,5.0,1.0,24.249,1
23920,0.0,0.0,0.0,0.0,0
33795,3.0,3.0,3.0,7.95,1
25735,0.0,0.0,0.0,0.0,0
6492,0.0,0.0,0.0,0.0,0
47573,5.0,4.0,5.0,15.395,1
13538,1.0,4.0,5.0,21.966,1
47368,3.0,3.0,5.0,548.922,1
234,0.0,0.0,0.0,0.0,0
32809,0.0,0.0,0.0,0.0,0
26405,3.0,1.0,1.0,35.925,1
12837,0.0,0.0,0.0,0.0,0
50581,0.0,0.0,0.0,0.0,0
58391,0.0,0.0,0.0,0.0,0
15924,0.0,0.0,0.0,0.0,0
65203,4.0,5.0,3.0,28.839,1
32583,3.0,3.0,3.0,43.409,1
19778,3.0,3.0,3.5,30.5555,2
27608,5.0,5.0,3.0,40.893,1
66520,0.0,0.0,0.0,0.0,0
35424,0.0,0.0,0.0,0.0,0
45345,0.0,0.0,0.0,0.0,0
64542,0.0,0.0,0.0,0.0,0
3932,0.0,0.0,0.0,0.0,0
3565,5.0,4.0,3.0,16.296,1
23658,0.0,0.0,0.0,0.0,0
66140,1.0,5.0,5.0,13.656,1
3104,0.0,0.0,0.0,0.0,0
7817,0.0,0.0,0.0,0.0,0
47117,2.5,3.5,3.0,116.768,2
54293,0.0,0.0,0.0,0.0,0
40506,1.0,3.0,5.0,32.863,1
59421,1.0,4.0,5.0,27.085,1
64644,0.0,0.0,0.0,0.0,0
44021,3.0,3.0,3.0,25.599,2
13020,4.0,4.0,2.0,35.076,1
4787,2.0,1.0,4.0,17.38,1
55090,0.0,0.0,0.0,0.0,0
11557,5.0,5.0,5.0,13.284,1
2125,1.0,3.0,4.0,21.983,1
9922,5.0,3.0,3.0,39.274,1
47931,0.0,0.0,0.0,0.0,0
56618,2.0,1.5,2.0,31.3305,2
47320,1.0,3.0,4.0,23.452,1
54216,0.0,0.0,0.0,0.0,0
37804,3.0,3.0,3.0,11.844,1
13827,0.0,0.0,0.0,0.0,0
18971,0.0,0.0,0.0,0.0,0
29860,3.0,3.0,3.0,5.376,1
23893,0.0,0.0,0.0,0.0,0
33820,0.0,0.0,0.0,0.0,0
62666,0.0,0.0,0.0,0.0,0
9108,2.0,5.0,5.0,147.215,1
22765,2.0,2.3333333333333335,3.3333333333333335,12.682333333333332,3
16051,3.0,1.0,1.0,27.175,1
54660,0.0,0.0,0.0,0.0,0
52604,2.0,3.0,1.0,39.8,1
10681,0.0,0.0,0.0,0.0,0
57895,0.0,0.0,0.0,0.0,0
30534,2.0,5.0,5.0,57.416,1
60662,0.0,0.0,0.0,0.0,0
64785,0.0,0.0,0.0,0.0,0
22839,1.6666666666666667,1.6666666666666667,4.666666666666667,44.589,3
36284,2.0,4.0,3.0,68.135,1
12500,0.0,0.0,0.0,0.0,0
29343,3.0,5.0,3.0,19.656,1
38702,0.0,0.0,0.0,0.0,0
14759,5.0,4.0,3.0,22.912,1
21743,1.5,2.0,4.0,15.2785,2
43082,0.0,0.0,0.0,0.0,0
61196,0.0,0.0,0.0,0.0,0
36896,0.0,0.0,0.0,0.0,0
16773,0.0,0.0,0.0,0.0,0
4083,2.0,3.0,4.0,28.59,1
30294,0.0,0.0,0.0,0.0,0
6684,0.0,0.0,0.0,0.0,0
63945,3.0,1.5,3.5,22.6935,2
48701,0.0,0.0,0.0,0.0,0
1274,0.0,0.0,0.0,0.0,0
8733,0.0,0.0,0.0,0.0,0
2562,3.0,3.0,3.0,4.831,1
61926,4.0,4.0,3.0,15.931,1
9650,0.0,0.0,0.0,0.0,0
60350,5.0,5.0,3.0,44.692,1
7279,3.6666666666666665,2.3333333333333335,2.3333333333333335,7.697666666666667,3
17839,0.0,0.0,0.0,0.0,0
66167,0.0,0.0,0.0,0.0,0
24944,0.0,0.0,0.0,0.0,0
31665,3.0,3.0,1.0,56.408,1
47916,2.0,5.0,5.0,15.878,1
51142,1.0,2.0,2.0,37.893,1
13707,3.0,3.0,3.0,22.2005,2
21006,0.0,0.0,0.0,0.0,0
35307,0.0,0.0,0.0,0.0,0
33597,2.0,2.0,3.0,35.411,1
14681,0.0,0.0,0.0,0.0,0
36071,4.0,5.0,3.0,14.184,1
26068,2.0,2.5,4.5,127.157,2
8628,1.0,4.0,5.0,19.224,1
56885,3.0,3.0,1.0,71.749,1
31175,0.0,0.0,0.0,0.0,0
24791,0.0,0.0,0.0,0.0,0
8601,3.0,3.0,2.0,334.803,1
5541,1.5,5.0,5.0,109.522,2
2488,0.0,0.0,0.0,0.0,0
53588,0.0,0.0,0.0,0.0,0
5753,0.0,0.0,0.0,0.0,0
11357,0.0,0.0,0.0,0.0,0
44396,2.0,4.0,3.0,51.717,1
63801,3.0,4.0,4.0,27.7275,2
37608,0.0,0.0,0.0,0.0,0
2904,0.0,0.0,0.0,0.0,0
60615,0.0,0.0,0.0,0.0,0
21147,0.0,0.0,0.0,0.0,0
33602,0.0,0.0,0.0,0.0,0
53918,0.0,0.0,0.0,0.0,0
48677,4.0,3.0,2.0,11.7285,2
57160,0.0,0.0,0.0,0.0,0
45161,0.0,0.0,0.0,0.0,0
37289,0.0,0.0,0.0,0.0,0
7398,2.0,3.0,4.0,12.93,1
31865,2.0,4.0,3.0,23.229,1
61895,0.0,0.0,0.0,0.0,0
63244,0.0,0.0,0.0,0.0,0
52395,0.0,0.0,0.0,0.0,0
26683,0.0,0.0,0.0,0.0,0
48467,0.0,0.0,0.0,0.0,0
48528,2.0,5.0,5.0,54.622,1
50979,0.0,0.0,0.0,0.0,0
49627,2.5,2.0,2.0,11.9865,2
11226,0.0,0.0,0.0,0.0,0
51333,0.0,0.0,0.0,0.0,0
20788,0.0,0.0,0.0,0.0,0
38889,0.0,0.0,0.0,0.0,0
66578,0.0,0.0,0.0,0.0,0
43458,0.0,0.0,0.0,0.0,0
933,0.0,0.0,0.0,0.0,0
31529,2.0,4.0,4.0,28.91,1
34697,1.0,5.0,1.0,29.803,1
